Latitude,Longitude,Borough_Brooklyn,Borough_Manhattan,Borough_Queens,Borough_Staten Island,City_Brooklyn,City_Jamaica,City_New York,City_Staten Island,WiFi_Type_Limited,Provider_LinkNYC,Provider_NYCHA,Provider_Transit Wireless
40.75982320973514,-73.85836035877783,0,1,0,0,0,0,0,1,0,0,0,1
40.62966150447282,-73.8202403753918,0,0,0,1,0,1,0,0,1,1,0,0
40.64278299620473,-74.14981984378737,0,0,0,1,0,1,0,0,0,0,1,0
40.75113089468607,-73.85068706659474,0,0,0,1,1,0,0,0,0,1,0,0
40.82333546622739,-74.19461739325632,0,0,0,1,0,0,1,0,0,1,0,0
40.67185207445284,-73.76512886255163,0,1,0,0,0,0,1,0,1,0,1,0
40.594677103339734,-74.16043684805692,0,0,0,1,0,1,0,0,0,0,0,1
40.785557857320946,-73.85708269026509,0,0,0,1,0,0,0,1,1,0,1,0
40.55026797871716,-73.97983668143041,1,0,0,0,0,0,0,1,0,0,0,0
40.551865128353725,-74.08305361975312,0,0,0,0,0,0,1,0,1,1,0,0
40.667374618570896,-73.76324918854989,0,0,0,0,0,0,0,0,0,1,0,0
40.88237391869469,-74.07904090052571,0,0,1,0,0,0,0,0,1,0,1,0
40.85916685387965,-74.10229382476899,0,0,1,0,0,0,0,0,1,0,1,0
40.64150348370902,-73.96302948679725,0,1,0,0,0,0,1,0,1,0,1,0
40.70483601860018,-74.12379601527498,0,1,0,0,0,0,0,0,0,1,0,0
40.608303455910544,-74.03265289494644,0,1,0,0,0,0,0,0,0,0,0,0
40.8950645799656,-73.90765129611059,0,0,0,1,0,0,0,1,1,0,1,0
40.608802218351386,-73.99425324209068,0,0,1,0,0,1,0,0,1,0,0,0
40.78290487410188,-73.72962107955307,0,0,0,0,0,1,0,0,1,0,1,0
40.80304444922654,-74.04492773194305,0,0,0,1,0,0,0,1,1,1,0,0
40.885571722743144,-74.15045317041888,0,0,0,0,0,1,0,0,0,0,1,0
40.61440404174576,-74.19650167959462,0,0,0,1,0,0,0,1,0,0,0,0
40.60348842040428,-74.02808111549001,0,0,1,0,0,0,0,1,0,0,0,1
40.582122268852494,-73.7177170998734,1,0,0,0,0,0,0,0,0,1,0,0
40.73491187038413,-73.89607709129473,0,0,0,0,0,0,1,0,1,0,0,1
40.56446874968362,-74.1302717122711,1,0,0,0,0,0,0,1,0,0,1,0
40.80941485769926,-74.23465555700815,0,0,0,1,0,0,0,0,0,0,0,0
40.85985537283694,-74.24066938282836,0,0,0,1,1,0,0,0,0,0,0,1
40.63210104710877,-74.12866418651173,0,1,0,0,0,1,0,0,1,0,1,0
40.58591089406558,-73.85095180773806,1,0,0,0,0,0,0,0,1,0,0,0
40.89537442752707,-74.08996189036341,0,0,0,0,0,0,1,0,0,1,0,0
40.70276986689456,-73.8271757341963,0,1,0,0,0,0,0,0,0,0,0,0
40.58233635813566,-74.15804703820147,0,0,1,0,1,0,0,0,1,0,0,1
40.58452564895602,-74.07051043519482,1,0,0,0,0,0,0,1,1,0,0,1
40.83977042306231,-73.80592947774345,0,0,0,0,0,0,1,0,1,0,0,0
40.864333086777336,-74.00493059352404,0,1,0,0,0,0,1,0,0,0,1,0
40.67147507441258,-73.95737571639665,0,0,0,1,0,0,0,1,0,0,0,0
40.54064030894939,-73.91287364680962,0,0,1,0,0,0,1,0,0,0,0,1
40.73985133323576,-74.00451548467223,0,1,0,0,0,0,1,0,1,0,0,1
40.63078719450058,-73.74473309424468,0,1,0,0,1,0,0,0,0,1,0,0
40.8025641253997,-74.15328117741089,0,1,0,0,0,0,1,0,1,0,0,1
40.85746145743637,-74.2473838517069,0,0,0,1,1,0,0,0,1,0,0,1
40.80260106314075,-73.88137549849569,0,1,0,0,0,0,0,0,1,0,0,1
40.515551066529724,-73.79197712016189,1,0,0,0,0,0,0,1,0,1,0,0
40.829890648777415,-74.19878669485854,0,0,1,0,1,0,0,0,0,0,0,0
40.68603493636654,-74.02452022454361,0,0,0,0,0,0,1,0,0,0,0,0
40.84454282786258,-74.09625436095999,1,0,0,0,0,0,1,0,0,1,0,0
40.68832902431721,-73.83604645181617,0,0,1,0,0,0,1,0,1,1,0,0
40.58095571331422,-73.70819462288485,0,0,0,0,0,1,0,0,0,0,1,0
40.80235608134903,-73.97669721482258,0,0,1,0,0,0,0,1,0,0,0,0
40.54671157163641,-73.8010030463706,0,0,0,0,0,0,0,1,1,0,0,1
40.60836670937698,-73.7593125454193,0,1,0,0,0,0,0,0,1,0,0,0
40.66005277986108,-73.80459329437082,1,0,0,0,0,1,0,0,0,1,0,0
40.63940557011872,-73.78321708511658,0,1,0,0,0,0,0,1,1,0,1,0
40.55434847635612,-74.21501141718772,0,0,0,1,0,0,0,0,1,0,1,0
40.59683965365649,-74.01144750665966,0,0,0,0,1,0,0,0,1,0,1,0
40.513360291318875,-73.8658967875286,0,1,0,0,0,0,1,0,0,0,0,0
40.72333220144485,-73.95119618454986,1,0,0,0,1,0,0,0,0,0,0,0
40.7476149874607,-74.15386389554321,0,0,1,0,0,0,0,0,1,0,0,1
40.500851811045244,-73.74067977503576,0,0,0,1,0,0,1,0,1,0,0,0
40.85741229127519,-73.93822827724374,0,1,0,0,0,0,0,1,0,0,0,0
40.76996012818769,-73.7411888052189,0,1,0,0,0,1,0,0,1,0,0,1
40.720984920179085,-74.10122485393094,0,1,0,0,0,0,0,1,0,0,0,0
